EmployeeID,Department,JobTitle,SatisfactionRating,EngagementLevel,ReportsConcerns,ProvidedSuggestions
1,Sales,Executive,5,Medium,True,False
2,Sales,Manager,3,High,False,True
3,Sales,Manager,4,High,False,False
4,Sales,Executive,3,Medium,False,True
5,Sales,Executive,2,Medium,False,False
6,Sales,Executive,4,High,False,False
7,Sales,Executive,4,High,False,True
8,Sales,Manager,3,High,False,False
9,Sales,Manager,4,High,False,True
10,Sales,Manager,5,High,True,True
11,Sales,Executive,4,High,False,True
12,Sales,Manager,5,High,True,False
13,Sales,Manager,2,High,True,True
14,Sales,Executive,2,High,False,False
15,Sales,Executive,3,Medium,False,True
16,Sales,Executive,2,High,False,True
17,Sales,Executive,2,High,False,True
18,IT,Developer,5,Medium,True,True
19,IT,Developer,2,Medium,True,True
20,IT,Developer,3,Low,True,True
21,IT,Developer,2,Medium,False,True
22,IT,Developer,2,Medium,False,True
23,IT,Developer,4,High,False,False
24,IT,Developer,5,High,True,False
25,IT,Developer,4,High,False,True
26,IT,Manager,4,High,False,True
27,IT,Developer,2,Low,False,True
28,IT,Developer,2,High,False,True
29,IT,Developer,5,Low,False,True
30,IT,Developer,3,Medium,True,True
31,IT,Developer,4,Medium,False,False
32,IT,Developer,4,Medium,False,False
33,IT,Developer,5,Medium,True,False
34,IT,Manager,4,High,True,False
35,HR,Analyst,2,High,True,True
36,HR,Analyst,4,Medium,True,True
37,HR,Executive,3,High,False,False
38,HR,Executive,3,High,False,False
39,HR,Analyst,4,Medium,False,True
40,HR,Executive,1,High,True,True
41,HR,Executive,1,Low,False,True
42,HR,Executive,4,Low,False,True
43,HR,Executive,4,Low,True,True
44,HR,Analyst,4,Medium,False,True
45,HR,Executive,4,High,False,True
46,HR,Analyst,5,Low,False,True
47,HR,Executive,3,High,False,True
48,HR,Analyst,3,Low,True,False
49,HR,Analyst,5,Low,False,False
50,HR,Executive,4,Medium,False,True
51,HR,Analyst,2,High,False,True
52,Finance,Analyst,5,Medium,False,True
53,Finance,Analyst,5,Low,False,True
54,Finance,Analyst,5,Medium,True,True
55,Finance,Analyst,1,High,True,True
56,Finance,Analyst,5,Medium,False,True
57,Finance,Manager,4,Low,True,False
58,Finance,Manager,4,High,False,True
59,Finance,Manager,5,High,False,True
60,Finance,Manager,4,High,False,True
61,Finance,Manager,5,High,False,True
62,Finance,Manager,4,Low,False,False
63,Finance,Analyst,4,High,False,True
64,Finance,Manager,4,High,False,False
65,Finance,Manager,5,Medium,False,False
66,Finance,Analyst,3,Medium,False,True
67,Finance,Manager,5,High,False,True
68,Finance,Analyst,5,Medium,False,False
69,Marketing,Executive,5,High,True,True
70,Marketing,Coordinator,4,Medium,True,False
71,Marketing,Coordinator,4,Low,True,True
72,Marketing,Executive,5,Medium,True,True
73,Marketing,Executive,4,Medium,True,False
74,Marketing,Coordinator,5,Low,False,True
75,Marketing,Coordinator,4,Medium,True,False
76,Marketing,Coordinator,5,Medium,False,False
77,Marketing,Coordinator,4,Low,False,True
78,Marketing,Executive,5,Medium,True,True
79,Marketing,Executive,2,Medium,False,False
80,Marketing,Executive,5,Medium,True,True
81,Marketing,Coordinator,5,Low,True,True
82,Marketing,Coordinator,5,Medium,False,True
83,Marketing,Executive,2,High,False,True
84,Marketing,Executive,3,High,False,True
85,Support,Support,4,Low,False,False
86,Support,Support,3,High,False,True
87,Support,Coordinator,2,Medium,True,True
88,Support,Support,3,Low,True,True
89,Support,Coordinator,3,Medium,False,True
90,Support,Support,4,Low,False,True
91,Support,Support,5,High,False,False
92,Support,Coordinator,2,High,False,True
93,Support,Coordinator,2,Low,False,True
94,Support,Support,3,Medium,False,True
95,Support,Coordinator,4,High,False,True
96,Support,Support,4,Low,False,True
97,Support,Support,3,Low,False,False
98,Support,Support,2,Medium,False,True
99,Support,Support,2,Low,False,True
100,Support,Support,3,High,False,True
