EmployeeID,Department,JobTitle,SatisfactionRating,EngagementLevel,ReportsConcerns,ProvidedSuggestions
1,Marketing,Manager,4,Medium,True,False
2,Marketing,Manager,1,Medium,False,False
3,Marketing,Coordinator,5,Low,True,True
4,Finance,Analyst,2,Medium,False,True
5,HR,Executive,1,Medium,True,False
6,IT,Developer,3,High,True,False
7,HR,Analyst,1,Medium,True,False
8,Finance,Executive,5,High,True,True
9,IT,Executive,4,Low,True,False
10,Sales,Executive,2,High,True,False
11,HR,Executive,1,Low,False,False
12,Sales,Analyst,4,Low,False,True
13,IT,Support,2,Low,False,True
14,IT,Support,5,Low,False,True
15,IT,Executive,5,High,False,False
16,Marketing,Executive,2,Medium,True,False
17,Finance,Manager,3,Low,False,False
18,Finance,Executive,2,Low,True,True
19,Marketing,Manager,5,Low,False,True
20,Marketing,Manager,2,Low,False,False
21,IT,Executive,4,Medium,False,True
22,HR,Executive,2,Low,True,True
23,Marketing,Executive,4,High,False,False
24,HR,Analyst,2,High,False,True
25,Marketing,Coordinator,1,Low,False,True
26,HR,Executive,3,Medium,False,False
27,Finance,Analyst,2,Low,False,True
28,Sales,Developer,1,High,False,False
29,Marketing,Manager,1,Medium,False,True
30,Finance,Manager,2,Low,True,False
31,IT,Executive,4,Medium,True,False
32,HR,Analyst,2,Low,False,False
33,Finance,Executive,1,Medium,False,True
34,Sales,Analyst,3,High,False,False
35,Sales,Analyst,4,High,False,True
36,Marketing,Executive,4,Low,True,False
37,HR,Executive,2,Low,False,False
38,IT,Manager,4,Medium,True,False
39,HR,Analyst,2,Medium,False,False
40,Sales,Analyst,3,Medium,False,False
41,Finance,Executive,2,High,True,False
42,Finance,Analyst,3,Medium,False,True
43,HR,Coordinator,1,High,True,True
44,HR,Coordinator,3,Medium,False,False
45,Finance,Analyst,4,Low,True,True
46,IT,Developer,4,Medium,False,True
47,Marketing,Coordinator,3,Low,False,True
48,Finance,Analyst,2,High,True,False
49,Marketing,Executive,4,Low,False,True
50,Sales,Developer,1,Low,True,True
51,IT,Executive,4,Medium,False,True
52,IT,Support,2,Medium,False,False
53,HR,Executive,4,High,True,True
54,Marketing,Executive,3,Medium,False,False
55,IT,Executive,5,High,False,False
56,Sales,Manager,5,Medium,True,False
57,Finance,Executive,4,High,True,False
58,HR,Coordinator,4,Medium,True,True
59,Finance,Manager,4,High,False,True
60,HR,Executive,1,High,True,False
61,Marketing,Manager,1,Low,False,False
62,Finance,Analyst,4,Medium,False,True
63,Marketing,Coordinator,4,Low,True,False
64,Marketing,Manager,4,Medium,True,True
65,Sales,Executive,5,High,True,False
66,HR,Coordinator,2,Medium,False,True
67,Finance,Analyst,2,Low,True,True
68,IT,Developer,5,High,False,False
69,IT,Developer,3,Medium,False,False
70,HR,Executive,2,Medium,False,False
71,Marketing,Manager,5,High,False,True
72,Finance,Analyst,3,High,True,False
73,IT,Developer,2,Low,True,False
74,Marketing,Manager,2,Low,True,False
75,IT,Manager,4,Medium,True,False
76,Sales,Analyst,1,Medium,False,False
77,Finance,Manager,5,Low,True,False
78,Sales,Manager,2,Low,True,False
79,Sales,Analyst,3,Low,True,False
80,HR,Analyst,2,High,True,False
81,IT,Support,3,High,True,True
82,Marketing,Manager,4,Medium,True,True
83,Sales,Executive,4,Low,False,False
84,Finance,Manager,2,High,True,True
85,HR,Analyst,3,Low,True,True
86,Sales,Analyst,3,Medium,False,True
87,Sales,Executive,1,Medium,True,True
88,Sales,Manager,4,High,True,False
89,Finance,Executive,1,Low,False,True
90,Marketing,Coordinator,3,Low,True,False
91,Marketing,Coordinator,4,High,True,True
92,Finance,Executive,2,Medium,True,True
93,Finance,Manager,3,Medium,False,False
94,Finance,Manager,2,Medium,False,False
95,Marketing,Coordinator,5,High,False,False
96,IT,Manager,3,High,False,True
97,Sales,Executive,5,Low,True,True
98,Finance,Manager,1,Medium,True,False
99,IT,Support,5,Low,True,True
100,IT,Executive,2,Low,False,False
